Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
AFG,2000-01-01,2002-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,87,E,
AFG,2001-01-01,2003-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,88,E,
AFG,2002-01-01,2004-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,91,E,
AFG,2003-01-01,2005-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,92,E,
AFG,2004-01-01,2006-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,93,E,
AFG,2005-01-01,2007-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,94,E,
AFG,2006-01-01,2008-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,96,E,
AFG,2007-01-01,2009-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,97,E,
AFG,2008-01-01,2010-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,100,E,
AFG,2009-01-01,2011-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,103,E,
AFG,2010-01-01,2012-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,105,E,
AFG,2011-01-01,2013-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,105,E,
AFG,2012-01-01,2014-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,106,E,
AFG,2013-01-01,2015-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,107,E,
AFG,2014-01-01,2016-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,107,E,
AFG,2015-01-01,2017-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,107,E,
AFG,2016-01-01,2018-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,107,E,
AFG,2017-01-01,2019-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,107,E,
AFG,2018-01-01,2020-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,106,E,
AFG,2019-01-01,2021-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,105,E,
AFG,2020-01-01,2022-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,105,E,
AFG,2021-01-01,2023-12-31,2,'004,Afghanistan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,105,E,
AFG,2000-01-01,2000-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,1774,E,
AFG,2001-01-01,2001-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,1716,E,
AFG,2002-01-01,2002-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,1794,E,
AFG,2003-01-01,2003-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,1847,E,
AFG,2004-01-01,2004-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,1911,E,
AFG,2005-01-01,2005-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,1888,E,
AFG,2006-01-01,2006-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,1906,E,
AFG,2007-01-01,2007-12-31,2,'004,Afghanistan,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,1989,E,
