Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
BOL,2000-01-01,2002-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,96,E,
BOL,2001-01-01,2003-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,97,E,
BOL,2002-01-01,2004-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,96,E,
BOL,2003-01-01,2005-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,95,E,
BOL,2004-01-01,2006-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,95,E,
BOL,2005-01-01,2007-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,96,E,
BOL,2006-01-01,2008-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,97,E,
BOL,2007-01-01,2009-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,98,E,
BOL,2008-01-01,2010-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,99,E,
BOL,2009-01-01,2011-12-31,19,'068,Bolivia (Plurinational State of),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,100,E,
