Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
BRA,2000-01-01,2002-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,122,E,
BRA,2001-01-01,2003-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,124,E,
BRA,2002-01-01,2004-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,127,E,
BRA,2003-01-01,2005-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,128,E,
BRA,2004-01-01,2006-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,128,E,
BRA,2005-01-01,2007-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,128,E,
BRA,2006-01-01,2008-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,129,E,
BRA,2007-01-01,2009-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,130,E,
BRA,2008-01-01,2010-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,132,E,
BRA,2009-01-01,2011-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,133,E,
BRA,2010-01-01,2012-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,134,E,
BRA,2011-01-01,2013-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,134,E,
BRA,2012-01-01,2014-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,134,E,
BRA,2013-01-01,2015-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,134,E,
BRA,2014-01-01,2016-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,133,E,
BRA,2015-01-01,2017-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,132,E,
BRA,2016-01-01,2018-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,133,E,
BRA,2017-01-01,2019-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,133,E,
BRA,2018-01-01,2020-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,134,E,
BRA,2019-01-01,2021-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,134,E,
BRA,2020-01-01,2022-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,134,E,
BRA,2021-01-01,2023-12-31,21,'076,Brazil,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,136,E,
BRA,2000-01-01,2000-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2875,E,
BRA,2001-01-01,2001-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2888,E,
BRA,2002-01-01,2002-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2925,E,
BRA,2003-01-01,2003-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3066,E,
BRA,2004-01-01,2004-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3082,E,
BRA,2005-01-01,2005-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3078,E,
BRA,2006-01-01,2006-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3095,E,
BRA,2007-01-01,2007-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3104,E,
BRA,2008-01-01,2008-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3174,E,
BRA,2009-01-01,2009-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3160,E,
BRA,2010-01-01,2010-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3258,E,
BRA,2011-01-01,2011-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3300,E,
BRA,2012-01-01,2012-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3249,E,
BRA,2013-01-01,2013-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3258,E,
BRA,2014-01-01,2014-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3299,E,
BRA,2015-01-01,2015-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3243,E,
BRA,2016-01-01,2016-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3223,E,
BRA,2017-01-01,2017-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3237,E,
BRA,2018-01-01,2018-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3275,E,
BRA,2019-01-01,2019-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3282,E,
BRA,2020-01-01,2020-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3252,E,
BRA,2021-01-01,2021-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3299,E,
BRA,2022-01-01,2022-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3305,E,
BRA,2023-01-01,2023-12-31,21,'076,Brazil,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3356,E,Imputed value
BRA,2000-01-01,2002-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2896,E,
BRA,2001-01-01,2003-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,2960,E,
BRA,2002-01-01,2004-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3025,E,
BRA,2003-01-01,2005-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3075,E,
BRA,2004-01-01,2006-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3085,E,
BRA,2005-01-01,2007-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3092,E,
BRA,2006-01-01,2008-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3125,E,
BRA,2007-01-01,2009-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3146,E,
BRA,2008-01-01,2010-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3198,E,
BRA,2009-01-01,2011-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3240,E,
BRA,2010-01-01,2012-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3269,E,
BRA,2011-01-01,2013-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3269,E,
BRA,2012-01-01,2014-12-31,21,'076,Brazil,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3269,E,
