Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
CHL,2000-01-01,2002-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,121,E,
CHL,2001-01-01,2003-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,121,E,
CHL,2002-01-01,2004-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,122,E,
CHL,2003-01-01,2005-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,121,E,
CHL,2004-01-01,2006-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,122,E,
CHL,2005-01-01,2007-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,122,E,
CHL,2006-01-01,2008-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,122,E,
CHL,2007-01-01,2009-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,121,E,
CHL,2008-01-01,2010-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,120,E,
CHL,2009-01-01,2011-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,120,E,
CHL,2010-01-01,2012-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,120,E,
CHL,2011-01-01,2013-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,121,E,
CHL,2012-01-01,2014-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,121,E,
CHL,2013-01-01,2015-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,122,E,
CHL,2014-01-01,2016-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,122,E,
CHL,2015-01-01,2017-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,122,E,
CHL,2016-01-01,2018-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,122,E,
CHL,2017-01-01,2019-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,123,E,
CHL,2018-01-01,2020-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,124,E,
CHL,2019-01-01,2021-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,126,E,
CHL,2020-01-01,2022-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,127,E,
CHL,2021-01-01,2023-12-31,40,'152,Chile,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,127,E,
CHL,2000-01-01,2000-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2854,E,
CHL,2001-01-01,2001-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2891,E,
CHL,2002-01-01,2002-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2925,E,
CHL,2003-01-01,2003-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2918,E,
CHL,2004-01-01,2004-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2945,E,
CHL,2005-01-01,2005-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2937,E,
CHL,2006-01-01,2006-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2984,E,
CHL,2007-01-01,2007-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2958,E,
CHL,2008-01-01,2008-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2965,E,
CHL,2009-01-01,2009-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2910,E,
CHL,2010-01-01,2010-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2905,E,
CHL,2011-01-01,2011-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2933,E,
CHL,2012-01-01,2012-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2918,E,
CHL,2013-01-01,2013-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2969,E,
CHL,2014-01-01,2014-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2967,E,
CHL,2015-01-01,2015-12-31,40,'152,Chile,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2954,E,
