Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
CHN,2000-01-01,2002-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,115,E,
CHN,2001-01-01,2003-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,115,E,
CHN,2002-01-01,2004-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,115,E,
CHN,2003-01-01,2005-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,116,E,
CHN,2004-01-01,2006-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,116,E,
CHN,2005-01-01,2007-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,117,E,
CHN,2006-01-01,2008-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,118,E,
CHN,2007-01-01,2009-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,120,E,
CHN,2008-01-01,2010-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,122,E,
CHN,2009-01-01,2011-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,124,E,
CHN,2010-01-01,2012-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,126,E,
CHN,2011-01-01,2013-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,127,E,
CHN,2012-01-01,2014-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,128,E,
CHN,2013-01-01,2015-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,130,E,
CHN,2014-01-01,2016-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,132,E,
CHN,2015-01-01,2017-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,133,E,
CHN,2016-01-01,2018-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,134,E,
CHN,2017-01-01,2019-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,135,E,
CHN,2018-01-01,2020-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,136,E,
CHN,2019-01-01,2021-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,137,E,
CHN,2020-01-01,2022-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,138,E,
CHN,2021-01-01,2023-12-31,41,'156,"China, mainland",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,139,E,
CHN,2000-01-01,2000-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2786,E,
CHN,2001-01-01,2001-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2792,E,
CHN,2002-01-01,2002-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2806,E,
CHN,2003-01-01,2003-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2806,E,
CHN,2004-01-01,2004-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2830,E,
CHN,2005-01-01,2005-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2852,E,
CHN,2006-01-01,2006-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2857,E,
CHN,2007-01-01,2007-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2894,E,
CHN,2008-01-01,2008-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2953,E,
CHN,2009-01-01,2009-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2972,E,
CHN,2010-01-01,2010-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3048,E,
CHN,2011-01-01,2011-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3094,E,
CHN,2012-01-01,2012-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3109,E,
CHN,2013-01-01,2013-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3105,E,
CHN,2014-01-01,2014-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3205,E,
CHN,2015-01-01,2015-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3240,E,
CHN,2016-01-01,2016-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3226,E,
CHN,2017-01-01,2017-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3261,E,
CHN,2018-01-01,2018-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3278,E,
CHN,2019-01-01,2019-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3304,E,
CHN,2020-01-01,2020-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3322,E,
CHN,2021-01-01,2021-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3406,E,
CHN,2022-01-01,2022-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3409,E,Imputed value
CHN,2023-01-01,2023-12-31,41,'156,"China, mainland",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3430,E,Imputed value
CHN,2000-01-01,2002-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2795,E,
CHN,2001-01-01,2003-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,2801,E,
CHN,2002-01-01,2004-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,2814,E,
CHN,2003-01-01,2005-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2829,E,
CHN,2004-01-01,2006-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2846,E,
CHN,2005-01-01,2007-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2868,E,
CHN,2006-01-01,2008-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,2902,E,
CHN,2007-01-01,2009-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,2940,E,
CHN,2008-01-01,2010-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,2991,E,
CHN,2009-01-01,2011-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3038,E,
CHN,2010-01-01,2012-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3084,E,
CHN,2011-01-01,2013-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3103,E,
CHN,2012-01-01,2014-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3140,E,
CHN,2013-01-01,2015-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,3184,E,
CHN,2014-01-01,2016-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,3224,E,
CHN,2015-01-01,2017-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,3242,E,
CHN,2016-01-01,2018-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,3255,E,
CHN,2017-01-01,2019-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,3281,E,
CHN,2018-01-01,2020-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,3301,E,
CHN,2019-01-01,2021-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,3344,E,
CHN,2020-01-01,2022-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,3379,E,
CHN,2021-01-01,2023-12-31,41,'156,"China, mainland",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,3415,E,
CHN,2000-01-01,2002-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,61,E,
CHN,2001-01-01,2003-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,60,E,
CHN,2002-01-01,2004-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,59,E,
CHN,2003-01-01,2005-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,58,E,
CHN,2004-01-01,2006-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,57,E,
CHN,2005-01-01,2007-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,56,E,
CHN,2006-01-01,2008-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,55,E,
CHN,2007-01-01,2009-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,54,E,
CHN,2008-01-01,2010-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20082010,2010,%,54,E,
CHN,2009-01-01,2011-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20092011,2011,%,54,E,
CHN,2010-01-01,2012-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20102012,2012,%,54,E,
CHN,2011-01-01,2013-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20112013,2013,%,54,E,
CHN,2012-01-01,2014-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20122014,2014,%,53,E,
CHN,2013-01-01,2015-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20132015,2015,%,53,E,
CHN,2014-01-01,2016-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,52,E,
CHN,2015-01-01,2017-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,52,E,
CHN,2016-01-01,2018-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,52,E,
CHN,2017-01-01,2019-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,52,E,
CHN,2018-01-01,2020-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,52,E,
CHN,2019-01-01,2021-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,51,E,
CHN,2020-01-01,2022-12-31,41,'156,"China, mainland",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,51,E,
CHN,2000-01-01,2002-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,83.8,E,
CHN,2001-01-01,2003-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,84.1,E,
CHN,2002-01-01,2004-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,85,E,
CHN,2003-01-01,2005-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,85.9,E,
CHN,2004-01-01,2006-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,86.7,E,
CHN,2005-01-01,2007-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,87.7,E,
CHN,2006-01-01,2008-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,89.4,E,
CHN,2007-01-01,2009-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,91.2,E,
CHN,2008-01-01,2010-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,97.9,E,
CHN,2009-01-01,2011-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,104,E,
CHN,2010-01-01,2012-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,110.1,E,
CHN,2011-01-01,2013-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,110.8,E,
CHN,2012-01-01,2014-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,111.9,E,
CHN,2013-01-01,2015-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,113.6,E,
CHN,2014-01-01,2016-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,115.8,E,
CHN,2015-01-01,2017-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,117.5,E,
CHN,2016-01-01,2018-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,118.9,E,
CHN,2017-01-01,2019-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,120,E,
CHN,2018-01-01,2020-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,121.2,E,
CHN,2019-01-01,2021-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,123.2,E,
CHN,2020-01-01,2022-12-31,41,'156,"China, mainland",21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,125.6,E,
