Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
CMR,2000-01-01,2002-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,100,E,
CMR,2001-01-01,2003-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,102,E,
CMR,2002-01-01,2004-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,103,E,
CMR,2003-01-01,2005-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,105,E,
CMR,2004-01-01,2006-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,107,E,
CMR,2005-01-01,2007-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,109,E,
CMR,2006-01-01,2008-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,110,E,
CMR,2007-01-01,2009-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,112,E,
CMR,2008-01-01,2010-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,117,E,
CMR,2009-01-01,2011-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,122,E,
CMR,2010-01-01,2012-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,126,E,
CMR,2011-01-01,2013-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,127,E,
CMR,2012-01-01,2014-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,127,E,
CMR,2013-01-01,2015-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,126,E,
CMR,2014-01-01,2016-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,125,E,
CMR,2015-01-01,2017-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,124,E,
CMR,2016-01-01,2018-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,124,E,
CMR,2017-01-01,2019-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,124,E,
CMR,2018-01-01,2020-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,125,E,
CMR,2019-01-01,2021-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,126,E,
CMR,2020-01-01,2022-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,126,E,
CMR,2021-01-01,2023-12-31,32,'120,Cameroon,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,126,E,
CMR,2000-01-01,2000-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2172,E,
CMR,2001-01-01,2001-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2219,E,
CMR,2002-01-01,2002-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2261,E,
CMR,2003-01-01,2003-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2289,E,
CMR,2004-01-01,2004-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2300,E,
CMR,2005-01-01,2005-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2364,E,
CMR,2006-01-01,2006-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2404,E,
CMR,2007-01-01,2007-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2425,E,
CMR,2008-01-01,2008-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2489,E,
CMR,2009-01-01,2009-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2532,E,
CMR,2010-01-01,2010-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2774,E,
CMR,2011-01-01,2011-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2792,E,
CMR,2012-01-01,2012-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2824,E,
CMR,2013-01-01,2013-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2835,E,
CMR,2014-01-01,2014-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2775,E,
CMR,2015-01-01,2015-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2776,E,
CMR,2016-01-01,2016-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2773,E,
CMR,2017-01-01,2017-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2749,E,
CMR,2018-01-01,2018-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2780,E,
CMR,2019-01-01,2019-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2833,E,
CMR,2020-01-01,2020-12-31,32,'120,Cameroon,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2813,E,
