Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
COG,2000-01-01,2002-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,100,E,
COG,2001-01-01,2003-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,100,E,
COG,2002-01-01,2004-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,100,E,
COG,2003-01-01,2005-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,99,E,
COG,2004-01-01,2006-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,98,E,
COG,2005-01-01,2007-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,96,E,
COG,2006-01-01,2008-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,94,E,
COG,2007-01-01,2009-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,92,E,
COG,2008-01-01,2010-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,91,E,
COG,2009-01-01,2011-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,89,E,
COG,2010-01-01,2012-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,89,E,
COG,2011-01-01,2013-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,91,E,
COG,2012-01-01,2014-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,93,E,
COG,2013-01-01,2015-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,95,E,
COG,2014-01-01,2016-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,96,E,
COG,2015-01-01,2017-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,96,E,
COG,2016-01-01,2018-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,96,E,
COG,2017-01-01,2019-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,96,E,
COG,2018-01-01,2020-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,96,E,
COG,2019-01-01,2021-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,97,E,
COG,2020-01-01,2022-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,97,E,
COG,2021-01-01,2023-12-31,46,'178,Congo,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,98,E,
COG,2000-01-01,2000-12-31,46,'178,Congo,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2176,E,
COG,2001-01-01,2001-12-31,46,'178,Congo,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2224,E,
COG,2002-01-01,2002-12-31,46,'178,Congo,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2241,E,
COG,2003-01-01,2003-12-31,46,'178,Congo,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2207,E,
