Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
COL,2000-01-01,2002-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,123,E,
COL,2001-01-01,2003-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,123,E,
COL,2002-01-01,2004-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,122,E,
COL,2003-01-01,2005-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,122,E,
COL,2004-01-01,2006-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,121,E,
COL,2005-01-01,2007-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,121,E,
COL,2006-01-01,2008-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,122,E,
COL,2007-01-01,2009-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,122,E,
COL,2008-01-01,2010-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,121,E,
COL,2009-01-01,2011-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,120,E,
COL,2010-01-01,2012-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,121,E,
COL,2011-01-01,2013-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,123,E,
COL,2012-01-01,2014-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,126,E,
COL,2013-01-01,2015-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,128,E,
COL,2014-01-01,2016-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,130,E,
COL,2015-01-01,2017-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,130,E,
COL,2016-01-01,2018-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,130,E,
COL,2017-01-01,2019-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,129,E,
COL,2018-01-01,2020-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,130,E,
COL,2019-01-01,2021-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,130,E,
COL,2020-01-01,2022-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,130,E,
COL,2021-01-01,2023-12-31,44,'170,Colombia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,131,E,
COL,2000-01-01,2000-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2798,E,
COL,2001-01-01,2001-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2836,E,
COL,2002-01-01,2002-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2805,E,
COL,2003-01-01,2003-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2824,E,
COL,2004-01-01,2004-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2808,E,
COL,2005-01-01,2005-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2767,E,
COL,2006-01-01,2006-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2811,E,
COL,2007-01-01,2007-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2853,E,
COL,2008-01-01,2008-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2864,E,
COL,2009-01-01,2009-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2772,E,
COL,2010-01-01,2010-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2799,E,
COL,2011-01-01,2011-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2801,E,
COL,2012-01-01,2012-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2893,E,
COL,2013-01-01,2013-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2969,E,
COL,2014-01-01,2014-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3002,E,
COL,2015-01-01,2015-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3066,E,
COL,2016-01-01,2016-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3079,E,
COL,2017-01-01,2017-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3038,E,
COL,2018-01-01,2018-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3072,E,
COL,2019-01-01,2019-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3046,E,
COL,2020-01-01,2020-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3086,E,
COL,2021-01-01,2021-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3091,E,
COL,2022-01-01,2022-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3113,E,
COL,2023-01-01,2023-12-31,44,'170,Colombia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3111,E,Imputed value
COL,2000-01-01,2002-12-31,44,'170,Colombia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2813,E,
COL,2001-01-01,2003-12-31,44,'170,Colombia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,2822,E,
COL,2002-01-01,2004-12-31,44,'170,Colombia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,2812,E,
