Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
DNK,2000-01-01,2002-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,132,E,
DNK,2001-01-01,2003-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,132,E,
DNK,2002-01-01,2004-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,133,E,
DNK,2003-01-01,2005-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,133,E,
DNK,2004-01-01,2006-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,134,E,
DNK,2005-01-01,2007-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,135,E,
DNK,2006-01-01,2008-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,134,E,
DNK,2007-01-01,2009-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,133,E,
DNK,2008-01-01,2010-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,132,E,
DNK,2009-01-01,2011-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,133,E,
DNK,2010-01-01,2012-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,134,E,
DNK,2011-01-01,2013-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,134,E,
DNK,2012-01-01,2014-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,135,E,
DNK,2013-01-01,2015-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,135,E,
DNK,2014-01-01,2016-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,134,E,
DNK,2015-01-01,2017-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,134,E,
DNK,2016-01-01,2018-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,136,E,
DNK,2017-01-01,2019-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,138,E,
DNK,2018-01-01,2020-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,140,E,
DNK,2019-01-01,2021-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,141,E,
DNK,2020-01-01,2022-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,141,E,
DNK,2021-01-01,2023-12-31,54,'208,Denmark,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,141,E,
DNK,2000-01-01,2000-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3311,E,
DNK,2001-01-01,2001-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3333,E,
DNK,2002-01-01,2002-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3371,E,
DNK,2003-01-01,2003-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3341,E,
DNK,2004-01-01,2004-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3380,E,
DNK,2005-01-01,2005-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3412,E,
DNK,2006-01-01,2006-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3405,E,
DNK,2007-01-01,2007-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3444,E,
DNK,2008-01-01,2008-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3325,E,
DNK,2009-01-01,2009-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3339,E,
DNK,2010-01-01,2010-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3409,E,
DNK,2011-01-01,2011-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3392,E,
DNK,2012-01-01,2012-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3396,E,
DNK,2013-01-01,2013-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3424,E,
DNK,2014-01-01,2014-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3433,E,
DNK,2015-01-01,2015-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3416,E,
DNK,2016-01-01,2016-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3424,E,
DNK,2017-01-01,2017-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3443,E,
DNK,2018-01-01,2018-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3574,E,
DNK,2019-01-01,2019-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3581,E,
DNK,2020-01-01,2020-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3596,E,
DNK,2021-01-01,2021-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3584,E,
DNK,2022-01-01,2022-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3588,E,Imputed value
DNK,2023-01-01,2023-12-31,54,'208,Denmark,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3572,E,Imputed value
DNK,2000-01-01,2002-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3338,E,
DNK,2001-01-01,2003-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3348,E,
DNK,2002-01-01,2004-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3364,E,
DNK,2003-01-01,2005-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3378,E,
DNK,2004-01-01,2006-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3399,E,
DNK,2005-01-01,2007-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3420,E,
DNK,2006-01-01,2008-12-31,54,'208,Denmark,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3391,E,
