Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
FIN,2000-01-01,2002-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,123,E,
FIN,2001-01-01,2003-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,123,E,
FIN,2002-01-01,2004-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,123,E,
FIN,2003-01-01,2005-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,124,E,
FIN,2004-01-01,2006-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,125,E,
FIN,2005-01-01,2007-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,126,E,
FIN,2006-01-01,2008-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,127,E,
FIN,2007-01-01,2009-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,127,E,
FIN,2008-01-01,2010-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,125,E,
FIN,2009-01-01,2011-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,125,E,
FIN,2010-01-01,2012-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,126,E,
FIN,2011-01-01,2013-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,127,E,
FIN,2012-01-01,2014-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,127,E,
FIN,2013-01-01,2015-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,127,E,
FIN,2014-01-01,2016-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,127,E,
FIN,2015-01-01,2017-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,128,E,
FIN,2016-01-01,2018-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,129,E,
FIN,2017-01-01,2019-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,130,E,
FIN,2018-01-01,2020-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,131,E,
FIN,2019-01-01,2021-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,131,E,
FIN,2020-01-01,2022-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,130,E,
FIN,2021-01-01,2023-12-31,67,'246,Finland,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,130,E,
FIN,2000-01-01,2000-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3144,E,
FIN,2001-01-01,2001-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3163,E,
FIN,2002-01-01,2002-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3144,E,
FIN,2003-01-01,2003-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3145,E,
FIN,2004-01-01,2004-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3179,E,
FIN,2005-01-01,2005-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3193,E,
FIN,2006-01-01,2006-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3231,E,
FIN,2007-01-01,2007-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3277,E,
FIN,2008-01-01,2008-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3235,E,
FIN,2009-01-01,2009-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3234,E,
FIN,2010-01-01,2010-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3164,E,
FIN,2011-01-01,2011-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3188,E,
FIN,2012-01-01,2012-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3262,E,
FIN,2013-01-01,2013-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3242,E,
FIN,2014-01-01,2014-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3238,E,
FIN,2015-01-01,2015-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3235,E,
FIN,2016-01-01,2016-12-31,67,'246,Finland,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3265,E,
