Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
GHA,2000-01-01,2002-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,113,E,
GHA,2001-01-01,2003-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,115,E,
GHA,2002-01-01,2004-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,117,E,
GHA,2003-01-01,2005-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,118,E,
GHA,2004-01-01,2006-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,120,E,
GHA,2005-01-01,2007-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,122,E,
GHA,2006-01-01,2008-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,124,E,
GHA,2007-01-01,2009-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,127,E,
GHA,2008-01-01,2010-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,130,E,
GHA,2009-01-01,2011-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,130,E,
GHA,2010-01-01,2012-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,129,E,
GHA,2011-01-01,2013-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,127,E,
GHA,2012-01-01,2014-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,127,E,
GHA,2013-01-01,2015-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,125,E,
GHA,2014-01-01,2016-12-31,81,'288,Ghana,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,124,E,
