Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
IRQ,2000-01-01,2002-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,103,E,
IRQ,2001-01-01,2003-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,104,E,
IRQ,2002-01-01,2004-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,105,E,
IRQ,2003-01-01,2005-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,106,E,
IRQ,2004-01-01,2006-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,108,E,
IRQ,2005-01-01,2007-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,109,E,
IRQ,2006-01-01,2008-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,110,E,
IRQ,2007-01-01,2009-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,111,E,
IRQ,2008-01-01,2010-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,113,E,
IRQ,2009-01-01,2011-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,115,E,
IRQ,2010-01-01,2012-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,115,E,
IRQ,2011-01-01,2013-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,115,E,
IRQ,2012-01-01,2014-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,115,E,
IRQ,2013-01-01,2015-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,115,E,
IRQ,2014-01-01,2016-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,115,E,
IRQ,2015-01-01,2017-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,115,E,
IRQ,2016-01-01,2018-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,115,E,
IRQ,2017-01-01,2019-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,116,E,
IRQ,2018-01-01,2020-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,117,E,
IRQ,2019-01-01,2021-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,117,E,
IRQ,2020-01-01,2022-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,117,E,
IRQ,2021-01-01,2023-12-31,103,'368,Iraq,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,117,E,
IRQ,2000-01-01,2000-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2205,E,
IRQ,2001-01-01,2001-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2283,E,
IRQ,2002-01-01,2002-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2300,E,
IRQ,2003-01-01,2003-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2280,E,
IRQ,2004-01-01,2004-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2399,E,
IRQ,2005-01-01,2005-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2391,E,
IRQ,2006-01-01,2006-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2427,E,
IRQ,2007-01-01,2007-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2450,E,
IRQ,2008-01-01,2008-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2445,E,
IRQ,2009-01-01,2009-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2541,E,
IRQ,2010-01-01,2010-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2596,E,
IRQ,2011-01-01,2011-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2600,E,
IRQ,2012-01-01,2012-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2560,E,
IRQ,2013-01-01,2013-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2580,E,
IRQ,2014-01-01,2014-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2577,E,
IRQ,2015-01-01,2015-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2568,E,
IRQ,2016-01-01,2016-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2587,E,
IRQ,2017-01-01,2017-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2604,E,
IRQ,2018-01-01,2018-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2635,E,
IRQ,2019-01-01,2019-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2660,E,
IRQ,2020-01-01,2020-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2674,E,
IRQ,2021-01-01,2021-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,2668,E,
IRQ,2022-01-01,2022-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,2685,E,
IRQ,2023-01-01,2023-12-31,103,'368,Iraq,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2701,E,Imputed value
IRQ,2000-01-01,2002-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2264,E,
IRQ,2001-01-01,2003-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,2288,E,
IRQ,2002-01-01,2004-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,2327,E,
IRQ,2003-01-01,2005-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2358,E,
IRQ,2004-01-01,2006-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2406,E,
IRQ,2005-01-01,2007-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2423,E,
IRQ,2006-01-01,2008-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,2441,E,
IRQ,2007-01-01,2009-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,2480,E,
IRQ,2008-01-01,2010-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,2529,E,
IRQ,2009-01-01,2011-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,2580,E,
IRQ,2010-01-01,2012-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,2585,E,
IRQ,2011-01-01,2013-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,2580,E,
IRQ,2012-01-01,2014-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,2573,E,
IRQ,2013-01-01,2015-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,2575,E,
IRQ,2014-01-01,2016-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,2577,E,
IRQ,2015-01-01,2017-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,2587,E,
IRQ,2016-01-01,2018-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,2609,E,
IRQ,2017-01-01,2019-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,2633,E,
IRQ,2018-01-01,2020-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,2657,E,
IRQ,2019-01-01,2021-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,2667,E,
IRQ,2020-01-01,2022-12-31,103,'368,Iraq,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,2676,E,
