Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
JPN,2000-01-01,2002-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,117,E,
JPN,2001-01-01,2003-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,116,E,
JPN,2002-01-01,2004-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,115,E,
JPN,2003-01-01,2005-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,115,E,
JPN,2004-01-01,2006-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,114,E,
JPN,2005-01-01,2007-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,114,E,
JPN,2006-01-01,2008-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,113,E,
JPN,2007-01-01,2009-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,112,E,
JPN,2008-01-01,2010-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,110,E,
JPN,2009-01-01,2011-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,109,E,
JPN,2010-01-01,2012-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,110,E,
JPN,2011-01-01,2013-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,111,E,
JPN,2012-01-01,2014-12-31,110,'392,Japan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,112,E,
