Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
KEN,2000-01-01,2002-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,93,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,92,E,
KEN,2002-01-01,2004-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,92,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,94,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,96,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,97,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,96,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,96,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,98,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,100,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,101,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,102,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,102,E,
KEN,2013-01-01,2015-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,102,E,
KEN,2014-01-01,2016-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,100,E,
KEN,2015-01-01,2017-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,99,E,
KEN,2016-01-01,2018-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,99,E,
KEN,2017-01-01,2019-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,100,E,
KEN,2018-01-01,2020-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,101,E,
KEN,2019-01-01,2021-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,99,E,
KEN,2020-01-01,2022-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,96,E,
KEN,2021-01-01,2023-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,94,E,
KEN,2000-01-01,2000-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2005,E,
KEN,2001-01-01,2001-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2021,E,
KEN,2002-01-01,2002-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,1978,E,
KEN,2003-01-01,2003-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,1959,E,
KEN,2004-01-01,2004-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,1977,E,
KEN,2005-01-01,2005-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2112,E,
KEN,2006-01-01,2006-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2110,E,
KEN,2007-01-01,2007-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2058,E,
KEN,2008-01-01,2008-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2052,E,
KEN,2009-01-01,2009-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2108,E,
KEN,2010-01-01,2010-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2183,E,
KEN,2011-01-01,2011-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2192,E,
KEN,2012-01-01,2012-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2216,E,
KEN,2013-01-01,2013-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2243,E,
KEN,2014-01-01,2014-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2241,E,
KEN,2015-01-01,2015-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2247,E,
KEN,2016-01-01,2016-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2186,E,
KEN,2017-01-01,2017-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2204,E,
KEN,2018-01-01,2018-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2238,E,
KEN,2019-01-01,2019-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2301,E,
KEN,2020-01-01,2020-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2263,E,
KEN,2021-01-01,2021-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,2172,E,
KEN,2022-01-01,2022-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,2100,E,
KEN,2023-01-01,2023-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2113,E,Imputed value
KEN,2000-01-01,2002-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2001,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,1985,E,
KEN,2002-01-01,2004-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,1971,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2018,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2068,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2093,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,2073,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,2073,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,2116,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,2162,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,2197,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,2217,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,2234,E,
