Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
MNG,2000-01-01,2002-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,95,E,
MNG,2001-01-01,2003-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,95,E,
MNG,2002-01-01,2004-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,95,E,
MNG,2003-01-01,2005-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,95,E,
MNG,2004-01-01,2006-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,96,E,
MNG,2005-01-01,2007-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,97,E,
MNG,2006-01-01,2008-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,99,E,
MNG,2007-01-01,2009-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,101,E,
MNG,2008-01-01,2010-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,102,E,
MNG,2009-01-01,2011-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,104,E,
MNG,2010-01-01,2012-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,107,E,
MNG,2011-01-01,2013-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,109,E,
MNG,2012-01-01,2014-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,110,E,
MNG,2013-01-01,2015-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,112,E,
MNG,2014-01-01,2016-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,115,E,
MNG,2015-01-01,2017-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,116,E,
MNG,2016-01-01,2018-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,119,E,
MNG,2017-01-01,2019-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,121,E,
MNG,2018-01-01,2020-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,125,E,
MNG,2019-01-01,2021-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,128,E,
MNG,2020-01-01,2022-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,131,E,
MNG,2021-01-01,2023-12-31,141,'496,Mongolia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,132,E,
MNG,2000-01-01,2000-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2177,E,
MNG,2001-01-01,2001-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2218,E,
MNG,2002-01-01,2002-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2228,E,
MNG,2003-01-01,2003-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2221,E,
MNG,2004-01-01,2004-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2230,E,
MNG,2005-01-01,2005-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2254,E,
MNG,2006-01-01,2006-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2288,E,
MNG,2007-01-01,2007-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2343,E,
MNG,2008-01-01,2008-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2376,E,
MNG,2009-01-01,2009-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2449,E,
MNG,2010-01-01,2010-12-31,141,'496,Mongolia,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2439,E,
