Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
MOZ,2000-01-01,2002-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,97,E,
MOZ,2001-01-01,2003-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,98,E,
MOZ,2002-01-01,2004-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,99,E,
MOZ,2003-01-01,2005-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,99,E,
MOZ,2004-01-01,2006-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,99,E,
MOZ,2005-01-01,2007-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,100,E,
MOZ,2006-01-01,2008-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,101,E,
MOZ,2007-01-01,2009-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,102,E,
MOZ,2008-01-01,2010-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,105,E,
MOZ,2009-01-01,2011-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,108,E,
MOZ,2010-01-01,2012-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,109,E,
MOZ,2011-01-01,2013-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,106,E,
MOZ,2012-01-01,2014-12-31,144,'508,Mozambique,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,101,E,
