Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
MYS,2000-01-01,2002-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,124,E,
MYS,2001-01-01,2003-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,123,E,
MYS,2002-01-01,2004-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,122,E,
MYS,2003-01-01,2005-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,122,E,
MYS,2004-01-01,2006-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,122,E,
MYS,2005-01-01,2007-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,121,E,
MYS,2006-01-01,2008-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,121,E,
MYS,2007-01-01,2009-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,121,E,
MYS,2008-01-01,2010-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,120,E,
MYS,2009-01-01,2011-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,121,E,
MYS,2010-01-01,2012-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,121,E,
MYS,2011-01-01,2013-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,121,E,
MYS,2012-01-01,2014-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,120,E,
MYS,2013-01-01,2015-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,120,E,
MYS,2014-01-01,2016-12-31,131,'458,Malaysia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,120,E,
