Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
NER,2000-01-01,2002-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,105,E,
NER,2001-01-01,2003-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,106,E,
NER,2002-01-01,2004-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,108,E,
NER,2003-01-01,2005-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,110,E,
NER,2004-01-01,2006-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,111,E,
NER,2005-01-01,2007-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,111,E,
NER,2006-01-01,2008-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,112,E,
NER,2007-01-01,2009-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,113,E,
NER,2008-01-01,2010-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,116,E,
NER,2009-01-01,2011-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,116,E,
NER,2010-01-01,2012-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,117,E,
NER,2011-01-01,2013-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,116,E,
NER,2012-01-01,2014-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,117,E,
NER,2013-01-01,2015-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,118,E,
NER,2014-01-01,2016-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,119,E,
NER,2015-01-01,2017-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,120,E,
NER,2016-01-01,2018-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,121,E,
NER,2017-01-01,2019-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,121,E,
NER,2018-01-01,2020-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,122,E,
NER,2019-01-01,2021-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,120,E,
NER,2020-01-01,2022-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,121,E,
NER,2021-01-01,2023-12-31,158,'562,Niger,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,121,E,
NER,2000-01-01,2000-12-31,158,'562,Niger,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2258,E,
NER,2001-01-01,2001-12-31,158,'562,Niger,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2270,E,
NER,2002-01-01,2002-12-31,158,'562,Niger,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2238,E,
NER,2003-01-01,2003-12-31,158,'562,Niger,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2326,E,
NER,2004-01-01,2004-12-31,158,'562,Niger,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2375,E,
NER,2005-01-01,2005-12-31,158,'562,Niger,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2365,E,
