Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
NGA,2000-01-01,2002-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,120,E,
NGA,2001-01-01,2003-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,120,E,
NGA,2002-01-01,2004-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,121,E,
NGA,2003-01-01,2005-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,123,E,
NGA,2004-01-01,2006-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,125,E,
NGA,2005-01-01,2007-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,126,E,
NGA,2006-01-01,2008-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,126,E,
NGA,2007-01-01,2009-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,126,E,
NGA,2008-01-01,2010-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,123,E,
NGA,2009-01-01,2011-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,121,E,
NGA,2010-01-01,2012-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,118,E,
NGA,2011-01-01,2013-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,117,E,
NGA,2012-01-01,2014-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,118,E,
NGA,2013-01-01,2015-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,118,E,
NGA,2014-01-01,2016-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,118,E,
NGA,2015-01-01,2017-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,118,E,
NGA,2016-01-01,2018-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,117,E,
NGA,2017-01-01,2019-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,116,E,
NGA,2018-01-01,2020-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,115,E,
NGA,2019-01-01,2021-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,115,E,
NGA,2020-01-01,2022-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,114,E,
NGA,2021-01-01,2023-12-31,159,'566,Nigeria,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,113,E,
NGA,2000-01-01,2000-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2623,E,
NGA,2001-01-01,2001-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2626,E,
NGA,2002-01-01,2002-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2618,E,
NGA,2003-01-01,2003-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2621,E,
NGA,2004-01-01,2004-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2668,E,
NGA,2005-01-01,2005-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2719,E,
NGA,2006-01-01,2006-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2740,E,
NGA,2007-01-01,2007-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2736,E,
NGA,2008-01-01,2008-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2740,E,
NGA,2009-01-01,2009-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2701,E,
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2572,E,
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2560,E,
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2546,E,
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2521,E,
NGA,2014-01-01,2014-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2576,E,
NGA,2015-01-01,2015-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2568,E,
NGA,2016-01-01,2016-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2558,E,
NGA,2017-01-01,2017-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2556,E,
NGA,2018-01-01,2018-12-31,159,'566,Nigeria,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2532,E,
