Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
NLD,2000-01-01,2002-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,126,E,
NLD,2001-01-01,2003-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,125,E,
NLD,2002-01-01,2004-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,124,E,
NLD,2003-01-01,2005-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,124,E,
NLD,2004-01-01,2006-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,124,E,
NLD,2005-01-01,2007-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,125,E,
NLD,2006-01-01,2008-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,125,E,
NLD,2007-01-01,2009-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,125,E,
NLD,2008-01-01,2010-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,125,E,
NLD,2009-01-01,2011-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,125,E,
NLD,2010-01-01,2012-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,125,E,
NLD,2011-01-01,2013-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,126,E,
NLD,2012-01-01,2014-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,126,E,
NLD,2013-01-01,2015-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,126,E,
NLD,2014-01-01,2016-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,126,E,
NLD,2015-01-01,2017-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,127,E,
NLD,2016-01-01,2018-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,127,E,
NLD,2017-01-01,2019-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,130,E,
NLD,2018-01-01,2020-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,133,E,
NLD,2019-01-01,2021-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,134,E,
NLD,2020-01-01,2022-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,135,E,
NLD,2021-01-01,2023-12-31,150,'528,Netherlands (Kingdom of the),21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,134,E,
NLD,2000-01-01,2000-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3251,E,
NLD,2001-01-01,2001-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3240,E,
NLD,2002-01-01,2002-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3235,E,
NLD,2003-01-01,2003-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3128,E,
NLD,2004-01-01,2004-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3184,E,
NLD,2005-01-01,2005-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3218,E,
NLD,2006-01-01,2006-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3200,E,
NLD,2007-01-01,2007-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3225,E,
NLD,2008-01-01,2008-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3216,E,
NLD,2009-01-01,2009-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3200,E,
NLD,2010-01-01,2010-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3223,E,
NLD,2011-01-01,2011-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3225,E,
NLD,2012-01-01,2012-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3237,E,
NLD,2013-01-01,2013-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3234,E,
NLD,2014-01-01,2014-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3244,E,
NLD,2015-01-01,2015-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3274,E,
NLD,2016-01-01,2016-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3257,E,
NLD,2017-01-01,2017-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3273,E,
NLD,2018-01-01,2018-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3318,E,
NLD,2019-01-01,2019-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3468,E,
NLD,2020-01-01,2020-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3475,E,
NLD,2021-01-01,2021-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3464,E,
NLD,2022-01-01,2022-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3472,E,Imputed value
NLD,2023-01-01,2023-12-31,150,'528,Netherlands (Kingdom of the),220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3463,E,Imputed value
NLD,2000-01-01,2002-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3242,E,
NLD,2001-01-01,2003-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3201,E,
NLD,2002-01-01,2004-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3182,E,
NLD,2003-01-01,2005-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3177,E,
NLD,2004-01-01,2006-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3201,E,
NLD,2005-01-01,2007-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3214,E,
NLD,2006-01-01,2008-12-31,150,'528,Netherlands (Kingdom of the),22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3214,E,
