Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
NOR,2000-01-01,2002-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,135,E,
NOR,2001-01-01,2003-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,135,E,
NOR,2002-01-01,2004-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,136,E,
NOR,2003-01-01,2005-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,137,E,
NOR,2004-01-01,2006-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,137,E,
NOR,2005-01-01,2007-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,137,E,
NOR,2006-01-01,2008-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,137,E,
NOR,2007-01-01,2009-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,137,E,
NOR,2008-01-01,2010-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,138,E,
NOR,2009-01-01,2011-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,139,E,
NOR,2010-01-01,2012-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,140,E,
NOR,2011-01-01,2013-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,140,E,
NOR,2012-01-01,2014-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,140,E,
NOR,2013-01-01,2015-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,138,E,
NOR,2014-01-01,2016-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,136,E,
NOR,2015-01-01,2017-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,135,E,
NOR,2016-01-01,2018-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,135,E,
NOR,2017-01-01,2019-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,136,E,
NOR,2018-01-01,2020-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,138,E,
NOR,2019-01-01,2021-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,138,E,
NOR,2020-01-01,2022-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,136,E,
NOR,2021-01-01,2023-12-31,162,'578,Norway,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,134,E,
NOR,2000-01-01,2000-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3372,E,
NOR,2001-01-01,2001-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3412,E,
NOR,2002-01-01,2002-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3452,E,
NOR,2003-01-01,2003-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3429,E,
NOR,2004-01-01,2004-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3469,E,
NOR,2005-01-01,2005-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3514,E,
NOR,2006-01-01,2006-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3443,E,
NOR,2007-01-01,2007-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3465,E,
NOR,2008-01-01,2008-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3483,E,
NOR,2009-01-01,2009-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3478,E,
NOR,2010-01-01,2010-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3567,E,
NOR,2011-01-01,2011-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3559,E,
NOR,2012-01-01,2012-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3577,E,
NOR,2013-01-01,2013-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3560,E,
NOR,2014-01-01,2014-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3517,E,
NOR,2015-01-01,2015-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3457,E,
NOR,2016-01-01,2016-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3416,E,
NOR,2017-01-01,2017-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3416,E,
NOR,2018-01-01,2018-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3486,E,
NOR,2019-01-01,2019-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3532,E,
NOR,2020-01-01,2020-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3532,E,
NOR,2021-01-01,2021-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3509,E,
NOR,2022-01-01,2022-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3381,E,Imputed value
NOR,2023-01-01,2023-12-31,162,'578,Norway,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3374,E,Imputed value
NOR,2000-01-01,2002-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3412,E,
NOR,2001-01-01,2003-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3431,E,
NOR,2002-01-01,2004-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3450,E,
NOR,2003-01-01,2005-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3471,E,
NOR,2004-01-01,2006-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3475,E,
NOR,2005-01-01,2007-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3474,E,
NOR,2006-01-01,2008-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3464,E,
NOR,2007-01-01,2009-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3475,E,
NOR,2008-01-01,2010-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3510,E,
NOR,2009-01-01,2011-12-31,162,'578,Norway,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3535,E,
