Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
NZL,2000-01-01,2002-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,127,E,
NZL,2001-01-01,2003-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,126,E,
NZL,2002-01-01,2004-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,126,E,
NZL,2003-01-01,2005-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,127,E,
NZL,2004-01-01,2006-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,127,E,
NZL,2005-01-01,2007-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,128,E,
NZL,2006-01-01,2008-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,128,E,
NZL,2007-01-01,2009-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,128,E,
NZL,2008-01-01,2010-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,126,E,
NZL,2009-01-01,2011-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,124,E,
NZL,2010-01-01,2012-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,124,E,
NZL,2011-01-01,2013-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,124,E,
NZL,2012-01-01,2014-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,126,E,
NZL,2013-01-01,2015-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,127,E,
NZL,2014-01-01,2016-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,129,E,
NZL,2015-01-01,2017-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,129,E,
NZL,2016-01-01,2018-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,130,E,
NZL,2017-01-01,2019-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,131,E,
NZL,2018-01-01,2020-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,131,E,
NZL,2019-01-01,2021-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,133,E,
NZL,2020-01-01,2022-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,135,E,
NZL,2021-01-01,2023-12-31,156,'554,New Zealand,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,137,E,
NZL,2000-01-01,2000-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3172,E,
NZL,2001-01-01,2001-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3116,E,
NZL,2002-01-01,2002-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3120,E,
NZL,2003-01-01,2003-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3119,E,
NZL,2004-01-01,2004-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3156,E,
NZL,2005-01-01,2005-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3182,E,
NZL,2006-01-01,2006-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3150,E,
NZL,2007-01-01,2007-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3184,E,
NZL,2008-01-01,2008-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3205,E,
NZL,2009-01-01,2009-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3144,E,
NZL,2010-01-01,2010-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3033,E,
NZL,2011-01-01,2011-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3078,E,
NZL,2012-01-01,2012-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3088,E,
NZL,2013-01-01,2013-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3083,E,
NZL,2014-01-01,2014-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3180,E,
NZL,2015-01-01,2015-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3210,E,
NZL,2016-01-01,2016-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3196,E,
NZL,2017-01-01,2017-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3229,E,
NZL,2018-01-01,2018-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3248,E,
NZL,2019-01-01,2019-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3271,E,
NZL,2020-01-01,2020-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3288,E,
NZL,2021-01-01,2021-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3365,E,
NZL,2022-01-01,2022-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3412,E,
NZL,2023-01-01,2023-12-31,156,'554,New Zealand,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3439,E,Imputed value
NZL,2000-01-01,2002-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3136,E,
NZL,2001-01-01,2003-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3118,E,
NZL,2002-01-01,2004-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3132,E,
NZL,2003-01-01,2005-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3153,E,
NZL,2004-01-01,2006-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3163,E,
NZL,2005-01-01,2007-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3172,E,
NZL,2006-01-01,2008-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3180,E,
NZL,2007-01-01,2009-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3178,E,
NZL,2008-01-01,2010-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3127,E,
NZL,2009-01-01,2011-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3085,E,
NZL,2010-01-01,2012-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3066,E,
NZL,2011-01-01,2013-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3083,E,
NZL,2012-01-01,2014-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3117,E,
NZL,2013-01-01,2015-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,3158,E,
NZL,2014-01-01,2016-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,3195,E,
NZL,2015-01-01,2017-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,3212,E,
NZL,2016-01-01,2018-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,3225,E,
NZL,2017-01-01,2019-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,3250,E,
NZL,2018-01-01,2020-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,3269,E,
NZL,2019-01-01,2021-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,3309,E,
NZL,2020-01-01,2022-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,3356,E,
NZL,2021-01-01,2023-12-31,156,'554,New Zealand,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,3406,E,
NZL,2000-01-01,2002-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,28,E,
NZL,2001-01-01,2003-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,28,E,
NZL,2002-01-01,2004-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,28,E,
NZL,2003-01-01,2005-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,27,E,
NZL,2004-01-01,2006-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,27,E,
NZL,2005-01-01,2007-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,27,E,
NZL,2006-01-01,2008-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,27,E,
NZL,2007-01-01,2009-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,28,E,
NZL,2008-01-01,2010-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20082010,2010,%,28,E,
NZL,2009-01-01,2011-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20092011,2011,%,27,E,
NZL,2010-01-01,2012-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20102012,2012,%,27,E,
NZL,2011-01-01,2013-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20112013,2013,%,27,E,
NZL,2012-01-01,2014-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20122014,2014,%,29,E,
NZL,2013-01-01,2015-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20132015,2015,%,30,E,
NZL,2014-01-01,2016-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,31,E,
NZL,2015-01-01,2017-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,31,E,
NZL,2016-01-01,2018-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,31,E,
NZL,2017-01-01,2019-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,31,E,
NZL,2018-01-01,2020-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,31,E,
NZL,2019-01-01,2021-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,32,E,
NZL,2020-01-01,2022-12-31,156,'554,New Zealand,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,32,E,
NZL,2000-01-01,2002-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,89.6,E,
NZL,2001-01-01,2003-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,90.9,E,
NZL,2002-01-01,2004-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,92,E,
NZL,2003-01-01,2005-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,92.5,E,
NZL,2004-01-01,2006-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,93.2,E,
NZL,2005-01-01,2007-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,93.5,E,
NZL,2006-01-01,2008-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,94.2,E,
NZL,2007-01-01,2009-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,93.5,E,
NZL,2008-01-01,2010-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,94.3,E,
NZL,2009-01-01,2011-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,98.1,E,
NZL,2010-01-01,2012-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,101.3,E,
NZL,2011-01-01,2013-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,103.5,E,
NZL,2012-01-01,2014-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,102.8,E,
NZL,2013-01-01,2015-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,102.8,E,
NZL,2014-01-01,2016-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,103.5,E,
NZL,2015-01-01,2017-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,102.4,E,
NZL,2016-01-01,2018-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,103.8,E,
NZL,2017-01-01,2019-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,102.9,E,
NZL,2018-01-01,2020-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,102.3,E,
NZL,2019-01-01,2021-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,100.3,E,
NZL,2020-01-01,2022-12-31,156,'554,New Zealand,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,101,E,
NZL,2000-01-01,2002-12-31,156,'554,New Zealand,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,52.6,E,
