Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
OMN,2000-01-01,2002-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,111,E,
OMN,2001-01-01,2003-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,113,E,
OMN,2002-01-01,2004-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,113,E,
OMN,2003-01-01,2005-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,115,E,
OMN,2004-01-01,2006-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,116,E,
OMN,2005-01-01,2007-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,116,E,
OMN,2006-01-01,2008-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,116,E,
OMN,2007-01-01,2009-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,116,E,
OMN,2008-01-01,2010-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,122,E,
OMN,2009-01-01,2011-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,124,E,
OMN,2010-01-01,2012-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,125,E,
OMN,2011-01-01,2013-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,122,E,
OMN,2012-01-01,2014-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,122,E,
OMN,2013-01-01,2015-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,122,E,
OMN,2014-01-01,2016-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,121,E,
OMN,2015-01-01,2017-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,121,E,
OMN,2016-01-01,2018-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,121,E,
OMN,2017-01-01,2019-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,123,E,
OMN,2018-01-01,2020-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,125,E,
OMN,2019-01-01,2021-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,125,E,
OMN,2020-01-01,2022-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,126,E,
OMN,2021-01-01,2023-12-31,221,'512,Oman,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,126,E,
