Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PER,2000-01-01,2002-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,103,E,
PER,2001-01-01,2003-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,102,E,
PER,2002-01-01,2004-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,101,E,
PER,2003-01-01,2005-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,102,E,
PER,2004-01-01,2006-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,105,E,
PER,2005-01-01,2007-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,107,E,
PER,2006-01-01,2008-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,109,E,
PER,2007-01-01,2009-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,111,E,
PER,2008-01-01,2010-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,113,E,
PER,2009-01-01,2011-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,114,E,
PER,2010-01-01,2012-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,115,E,
PER,2011-01-01,2013-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,116,E,
PER,2012-01-01,2014-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,118,E,
PER,2013-01-01,2015-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,119,E,
PER,2014-01-01,2016-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,119,E,
PER,2015-01-01,2017-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,119,E,
PER,2016-01-01,2018-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,119,E,
PER,2017-01-01,2019-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,120,E,
PER,2018-01-01,2020-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,121,E,
PER,2019-01-01,2021-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,122,E,
PER,2020-01-01,2022-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,121,E,
PER,2021-01-01,2023-12-31,170,'604,Peru,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,121,E,
PER,2000-01-01,2000-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,2325,E,
PER,2001-01-01,2001-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2285,E,
PER,2002-01-01,2002-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2305,E,
PER,2003-01-01,2003-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2253,E,
PER,2004-01-01,2004-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2278,E,
PER,2005-01-01,2005-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2396,E,
PER,2006-01-01,2006-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2427,E,
PER,2007-01-01,2007-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2461,E,
PER,2008-01-01,2008-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2531,E,
PER,2009-01-01,2009-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2575,E,
PER,2010-01-01,2010-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2580,E,
PER,2011-01-01,2011-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2590,E,
PER,2012-01-01,2012-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2653,E,
PER,2013-01-01,2013-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2682,E,
PER,2014-01-01,2014-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2716,E,
PER,2015-01-01,2015-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2741,E,
PER,2016-01-01,2016-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2734,E,
PER,2017-01-01,2017-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2743,E,
PER,2018-01-01,2018-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2767,E,
PER,2019-01-01,2019-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2804,E,
PER,2020-01-01,2020-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2824,E,
PER,2021-01-01,2021-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,2802,E,
PER,2022-01-01,2022-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,2807,E,
PER,2023-01-01,2023-12-31,170,'604,Peru,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2804,E,Imputed value
PER,2000-01-01,2002-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2305,E,
PER,2001-01-01,2003-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,2281,E,
PER,2002-01-01,2004-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,2279,E,
PER,2003-01-01,2005-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2309,E,
PER,2004-01-01,2006-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2367,E,
PER,2005-01-01,2007-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2428,E,
PER,2006-01-01,2008-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,2473,E,
PER,2007-01-01,2009-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,2523,E,
PER,2008-01-01,2010-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,2562,E,
PER,2009-01-01,2011-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,2582,E,
PER,2010-01-01,2012-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,2608,E,
PER,2011-01-01,2013-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,2642,E,
PER,2012-01-01,2014-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,2684,E,
PER,2013-01-01,2015-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,2713,E,
PER,2014-01-01,2016-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,2730,E,
PER,2015-01-01,2017-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,2739,E,
PER,2016-01-01,2018-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,2748,E,
PER,2017-01-01,2019-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,2772,E,
PER,2018-01-01,2020-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,2799,E,
PER,2019-01-01,2021-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,2810,E,
PER,2020-01-01,2022-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,2811,E,
PER,2021-01-01,2023-12-31,170,'604,Peru,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,2804,E,
PER,2000-01-01,2002-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,58,E,
PER,2001-01-01,2003-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,58,E,
PER,2002-01-01,2004-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,58,E,
PER,2003-01-01,2005-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,59,E,
PER,2004-01-01,2006-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,59,E,
PER,2005-01-01,2007-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,59,E,
PER,2006-01-01,2008-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,58,E,
PER,2007-01-01,2009-12-31,170,'604,Peru,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,57,E,
