Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PRT,2000-01-01,2002-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,142,E,
PRT,2001-01-01,2003-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,142,E,
PRT,2002-01-01,2004-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,142,E,
PRT,2003-01-01,2005-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,142,E,
PRT,2004-01-01,2006-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,142,E,
PRT,2005-01-01,2007-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,141,E,
PRT,2006-01-01,2008-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,141,E,
PRT,2007-01-01,2009-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,141,E,
PRT,2008-01-01,2010-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,141,E,
PRT,2009-01-01,2011-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,140,E,
PRT,2010-01-01,2012-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,140,E,
PRT,2011-01-01,2013-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,139,E,
PRT,2012-01-01,2014-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,138,E,
PRT,2013-01-01,2015-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,138,E,
PRT,2014-01-01,2016-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,137,E,
PRT,2015-01-01,2017-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,138,E,
PRT,2016-01-01,2018-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,138,E,
PRT,2017-01-01,2019-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,139,E,
PRT,2018-01-01,2020-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,140,E,
PRT,2019-01-01,2021-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,141,E,
PRT,2020-01-01,2022-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,142,E,
PRT,2021-01-01,2023-12-31,174,'620,Portugal,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,143,E,
PRT,2000-01-01,2000-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3547,E,
PRT,2001-01-01,2001-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3541,E,
PRT,2002-01-01,2002-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3537,E,
PRT,2003-01-01,2003-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3526,E,
PRT,2004-01-01,2004-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3537,E,
PRT,2005-01-01,2005-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3532,E,
PRT,2006-01-01,2006-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3519,E,
PRT,2007-01-01,2007-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3524,E,
PRT,2008-01-01,2008-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3530,E,
PRT,2009-01-01,2009-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3499,E,
PRT,2010-01-01,2010-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3511,E,
PRT,2011-01-01,2011-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3491,E,
PRT,2012-01-01,2012-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3461,E,
PRT,2013-01-01,2013-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3442,E,
PRT,2014-01-01,2014-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3402,E,
PRT,2015-01-01,2015-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3464,E,
PRT,2016-01-01,2016-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3405,E,
PRT,2017-01-01,2017-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3434,E,
PRT,2018-01-01,2018-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3467,E,
PRT,2019-01-01,2019-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3485,E,
PRT,2020-01-01,2020-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3506,E,
PRT,2021-01-01,2021-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3526,E,
PRT,2022-01-01,2022-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3553,E,Imputed value
PRT,2023-01-01,2023-12-31,174,'620,Portugal,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3563,E,Imputed value
PRT,2000-01-01,2002-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3542,E,
PRT,2001-01-01,2003-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3535,E,
PRT,2002-01-01,2004-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3533,E,
PRT,2003-01-01,2005-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3532,E,
PRT,2004-01-01,2006-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3529,E,
PRT,2005-01-01,2007-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3525,E,
PRT,2006-01-01,2008-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3524,E,
PRT,2007-01-01,2009-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3518,E,
PRT,2008-01-01,2010-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3513,E,
PRT,2009-01-01,2011-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3500,E,
PRT,2010-01-01,2012-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3488,E,
PRT,2011-01-01,2013-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3465,E,
PRT,2012-01-01,2014-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3435,E,
PRT,2013-01-01,2015-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,3436,E,
PRT,2014-01-01,2016-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,3424,E,
PRT,2015-01-01,2017-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,3434,E,
PRT,2016-01-01,2018-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,3435,E,
PRT,2017-01-01,2019-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,3462,E,
PRT,2018-01-01,2020-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,3486,E,
PRT,2019-01-01,2021-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,3506,E,
PRT,2020-01-01,2022-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,3528,E,
PRT,2021-01-01,2023-12-31,174,'620,Portugal,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,3547,E,
PRT,2000-01-01,2002-12-31,174,'620,Portugal,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,32,E,
