Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
SGP,2000-01-01,2000-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2000,2000,Int$/cap,66860.9,X,
SGP,2001-01-01,2001-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2001,2001,Int$/cap,64384.5,X,
SGP,2002-01-01,2002-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2002,2002,Int$/cap,66302.7,X,
SGP,2003-01-01,2003-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2003,2003,Int$/cap,70348,X,
SGP,2004-01-01,2004-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2004,2004,Int$/cap,76378.4,X,
SGP,2005-01-01,2005-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2005,2005,Int$/cap,80099.6,X,
SGP,2006-01-01,2006-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2006,2006,Int$/cap,84623.9,X,
SGP,2007-01-01,2007-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2007,2007,Int$/cap,88493.8,X,
SGP,2008-01-01,2008-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2008,2008,Int$/cap,85471.3,X,
SGP,2009-01-01,2009-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2009,2009,Int$/cap,83038.1,X,
SGP,2010-01-01,2010-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2010,2010,Int$/cap,93424.9,X,
SGP,2011-01-01,2011-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2011,2011,Int$/cap,97183.8,X,
SGP,2012-01-01,2012-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2012,2012,Int$/cap,99034.6,X,
SGP,2013-01-01,2013-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2013,2013,Int$/cap,102138,X,
SGP,2014-01-01,2014-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2014,2014,Int$/cap,104789,X,
SGP,2015-01-01,2015-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2015,2015,Int$/cap,106635,X,
SGP,2016-01-01,2016-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2016,2016,Int$/cap,109052,X,
SGP,2017-01-01,2017-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2017,2017,Int$/cap,113907,X,
SGP,2018-01-01,2018-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2018,2018,Int$/cap,117427,X,
SGP,2019-01-01,2019-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2019,2019,Int$/cap,117636,X,
SGP,2020-01-01,2020-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2020,2020,Int$/cap,113400,X,
SGP,2021-01-01,2021-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2021,2021,Int$/cap,128731,X,
SGP,2022-01-01,2022-12-31,200,'702,Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2022,2022,Int$/cap,129084,X,
SGP,2000-01-01,2002-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20002002,2002,%,,O,
SGP,2001-01-01,2003-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20012003,2003,%,,O,
SGP,2002-01-01,2004-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20022004,2004,%,,O,
SGP,2003-01-01,2005-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20032005,2005,%,,O,
SGP,2004-01-01,2006-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20042006,2006,%,,O,
SGP,2005-01-01,2007-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20052007,2007,%,,O,
SGP,2006-01-01,2008-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20062008,2008,%,,O,
SGP,2007-01-01,2009-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20072009,2009,%,,O,
SGP,2008-01-01,2010-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20082010,2010,%,,O,
SGP,2009-01-01,2011-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20092011,2011,%,,O,
SGP,2010-01-01,2012-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20102012,2012,%,,O,
SGP,2011-01-01,2013-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20112013,2013,%,,O,
SGP,2012-01-01,2014-12-31,200,'702,Singapore,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20122014,2014,%,,O,
