Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
SWE,2000-01-01,2002-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,123,E,
SWE,2001-01-01,2003-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,123,E,
SWE,2002-01-01,2004-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,123,E,
SWE,2003-01-01,2005-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,122,E,
SWE,2004-01-01,2006-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,122,E,
SWE,2005-01-01,2007-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,121,E,
SWE,2006-01-01,2008-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,122,E,
SWE,2007-01-01,2009-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,122,E,
SWE,2008-01-01,2010-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,124,E,
SWE,2009-01-01,2011-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,125,E,
SWE,2010-01-01,2012-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,127,E,
SWE,2011-01-01,2013-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,127,E,
SWE,2012-01-01,2014-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,127,E,
SWE,2013-01-01,2015-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,127,E,
SWE,2014-01-01,2016-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,127,E,
SWE,2015-01-01,2017-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,127,E,
SWE,2016-01-01,2018-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,126,E,
SWE,2017-01-01,2019-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,126,E,
SWE,2018-01-01,2020-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,127,E,
SWE,2019-01-01,2021-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,129,E,
SWE,2020-01-01,2022-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,129,E,
SWE,2021-01-01,2023-12-31,210,'752,Sweden,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,128,E,
SWE,2000-01-01,2000-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3096,E,
SWE,2001-01-01,2001-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3121,E,
SWE,2002-01-01,2002-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3130,E,
SWE,2003-01-01,2003-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3121,E,
SWE,2004-01-01,2004-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3144,E,
SWE,2005-01-01,2005-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3119,E,
SWE,2006-01-01,2006-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3089,E,
SWE,2007-01-01,2007-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3088,E,
SWE,2008-01-01,2008-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3128,E,
SWE,2009-01-01,2009-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3125,E,
SWE,2010-01-01,2010-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3205,E,
SWE,2011-01-01,2011-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3218,E,
SWE,2012-01-01,2012-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3221,E,
SWE,2013-01-01,2013-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3217,E,
SWE,2014-01-01,2014-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3241,E,
SWE,2015-01-01,2015-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3214,E,
SWE,2016-01-01,2016-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3215,E,
SWE,2017-01-01,2017-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3203,E,
SWE,2018-01-01,2018-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3173,E,
SWE,2019-01-01,2019-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3241,E,
SWE,2020-01-01,2020-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3265,E,
SWE,2021-01-01,2021-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3268,E,
SWE,2022-01-01,2022-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3261,E,Imputed value
SWE,2023-01-01,2023-12-31,210,'752,Sweden,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3244,E,Imputed value
SWE,2000-01-01,2002-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3116,E,
SWE,2001-01-01,2003-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3124,E,
SWE,2002-01-01,2004-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3132,E,
SWE,2003-01-01,2005-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3128,E,
SWE,2004-01-01,2006-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3117,E,
SWE,2005-01-01,2007-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3099,E,
SWE,2006-01-01,2008-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3102,E,
SWE,2007-01-01,2009-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3114,E,
SWE,2008-01-01,2010-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3153,E,
SWE,2009-01-01,2011-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3183,E,
SWE,2010-01-01,2012-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3215,E,
SWE,2011-01-01,2013-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3219,E,
SWE,2012-01-01,2014-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3226,E,
SWE,2013-01-01,2015-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,3224,E,
SWE,2014-01-01,2016-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,3223,E,
SWE,2015-01-01,2017-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,3211,E,
SWE,2016-01-01,2018-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,3197,E,
SWE,2017-01-01,2019-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,3206,E,
SWE,2018-01-01,2020-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,3227,E,
SWE,2019-01-01,2021-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,3258,E,
SWE,2020-01-01,2022-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,3265,E,
SWE,2021-01-01,2023-12-31,210,'752,Sweden,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,3258,E,
SWE,2000-01-01,2002-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,28,E,
SWE,2001-01-01,2003-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,28,E,
SWE,2002-01-01,2004-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,28,E,
SWE,2003-01-01,2005-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,28,E,
SWE,2004-01-01,2006-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,28,E,
SWE,2005-01-01,2007-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,28,E,
SWE,2006-01-01,2008-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,28,E,
SWE,2007-01-01,2009-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,28,E,
SWE,2014-01-01,2016-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,27,E,
SWE,2015-01-01,2017-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,27,E,
SWE,2016-01-01,2018-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,28,E,
SWE,2017-01-01,2019-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,29,E,
SWE,2018-01-01,2020-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,29,E,
SWE,2019-01-01,2021-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,29,E,
SWE,2020-01-01,2022-12-31,210,'752,Sweden,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,30,E,
SWE,2000-01-01,2002-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,104.5,E,
SWE,2001-01-01,2003-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,106.6,E,
SWE,2002-01-01,2004-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,108.1,E,
SWE,2003-01-01,2005-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,108.2,E,
SWE,2004-01-01,2006-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,108,E,
SWE,2005-01-01,2007-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,107.6,E,
SWE,2006-01-01,2008-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,107.9,E,
SWE,2007-01-01,2009-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,107.9,E,
SWE,2014-01-01,2016-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,111.4,E,
SWE,2015-01-01,2017-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,110.6,E,
SWE,2016-01-01,2018-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,109.3,E,
SWE,2017-01-01,2019-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,110.4,E,
SWE,2018-01-01,2020-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,111.2,E,
SWE,2019-01-01,2021-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,112.4,E,
SWE,2020-01-01,2022-12-31,210,'752,Sweden,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,112.3,E,
SWE,2000-01-01,2002-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,69.9,E,
SWE,2001-01-01,2003-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,71.7,E,
SWE,2002-01-01,2004-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,72.8,E,
SWE,2003-01-01,2005-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,72.7,E,
SWE,2004-01-01,2006-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,72.4,E,
SWE,2005-01-01,2007-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,72,E,
SWE,2006-01-01,2008-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,71.9,E,
SWE,2007-01-01,2009-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,71.5,E,
SWE,2014-01-01,2016-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,74.7,E,
SWE,2015-01-01,2017-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,73.7,E,
SWE,2016-01-01,2018-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,72,E,
SWE,2017-01-01,2019-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,72,E,
SWE,2018-01-01,2020-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,72.2,E,
SWE,2019-01-01,2021-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,72.8,E,
SWE,2020-01-01,2022-12-31,210,'752,Sweden,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,72.1,E,
SWE,2000-01-01,2000-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2000,2000,km,2.4,X,
SWE,2001-01-01,2001-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2001,2001,km,2.2,X,
SWE,2002-01-01,2002-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2002,2002,km,2.2,X,
SWE,2003-01-01,2003-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2003,2003,km,2.2,X,
SWE,2004-01-01,2004-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2004,2004,km,2.2,X,
SWE,2005-01-01,2005-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2005,2005,km,2.2,X,
SWE,2006-01-01,2006-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2006,2006,km,2.2,X,
SWE,2007-01-01,2007-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2007,2007,km,2.2,X,
SWE,2008-01-01,2008-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2008,2008,km,2.2,X,
SWE,2009-01-01,2009-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2009,2009,km,2.2,X,
SWE,2010-01-01,2010-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2010,2010,km,2.2,X,
SWE,2011-01-01,2011-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2011,2011,km,2.2,X,
SWE,2012-01-01,2012-12-31,210,'752,Sweden,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2012,2012,km,2.2,X,
