Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
TWN,2000-01-01,2002-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,125,E,
TWN,2001-01-01,2003-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,123,E,
TWN,2002-01-01,2004-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,123,E,
TWN,2003-01-01,2005-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,122,E,
TWN,2004-01-01,2006-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,121,E,
TWN,2005-01-01,2007-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,121,E,
TWN,2006-01-01,2008-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,119,E,
TWN,2007-01-01,2009-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,119,E,
TWN,2008-01-01,2010-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,118,E,
TWN,2009-01-01,2011-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,118,E,
TWN,2010-01-01,2012-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,118,E,
TWN,2011-01-01,2013-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,118,E,
TWN,2012-01-01,2014-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,118,E,
TWN,2013-01-01,2015-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,118,E,
TWN,2014-01-01,2016-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,118,E,
TWN,2015-01-01,2017-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,118,E,
TWN,2016-01-01,2018-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,118,E,
TWN,2017-01-01,2019-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,119,E,
TWN,2018-01-01,2020-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,119,E,
TWN,2019-01-01,2021-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,120,E,
TWN,2020-01-01,2022-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,120,E,
TWN,2021-01-01,2023-12-31,214,'158,"China, Taiwan Province of",21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,120,E,
TWN,2000-01-01,2000-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3115,E,
TWN,2001-01-01,2001-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3010,E,
TWN,2002-01-01,2002-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3003,E,
TWN,2003-01-01,2003-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2993,E,
TWN,2004-01-01,2004-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2989,E,
TWN,2005-01-01,2005-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2988,E,
TWN,2006-01-01,2006-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2950,E,
TWN,2007-01-01,2007-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2965,E,
TWN,2008-01-01,2008-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2924,E,
TWN,2009-01-01,2009-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2935,E,
TWN,2010-01-01,2010-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2961,E,
TWN,2011-01-01,2011-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2935,E,
TWN,2012-01-01,2012-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2924,E,
TWN,2013-01-01,2013-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2936,E,
TWN,2014-01-01,2014-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2940,E,
TWN,2015-01-01,2015-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2940,E,
TWN,2016-01-01,2016-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2931,E,
TWN,2017-01-01,2017-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2926,E,
TWN,2018-01-01,2018-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2951,E,
TWN,2019-01-01,2019-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2963,E,
TWN,2020-01-01,2020-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2952,E,
TWN,2021-01-01,2021-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,2961,E,
TWN,2022-01-01,2022-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,2959,E,Imputed value
TWN,2023-01-01,2023-12-31,214,'158,"China, Taiwan Province of",220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2973,E,Imputed value
TWN,2000-01-01,2002-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3042,E,
TWN,2001-01-01,2003-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3002,E,
TWN,2002-01-01,2004-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,2995,E,
TWN,2003-01-01,2005-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2990,E,
TWN,2004-01-01,2006-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2976,E,
TWN,2005-01-01,2007-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2968,E,
TWN,2006-01-01,2008-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,2946,E,
TWN,2007-01-01,2009-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,2941,E,
TWN,2008-01-01,2010-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,2940,E,
TWN,2009-01-01,2011-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,2944,E,
TWN,2010-01-01,2012-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,2940,E,
TWN,2011-01-01,2013-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,2932,E,
TWN,2012-01-01,2014-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,2933,E,
TWN,2013-01-01,2015-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,2939,E,
TWN,2014-01-01,2016-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,2937,E,
TWN,2015-01-01,2017-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,2932,E,
TWN,2016-01-01,2018-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,2936,E,
TWN,2017-01-01,2019-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,2947,E,
TWN,2018-01-01,2020-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,2955,E,
TWN,2019-01-01,2021-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,2959,E,
TWN,2020-01-01,2022-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,2957,E,
TWN,2021-01-01,2023-12-31,214,'158,"China, Taiwan Province of",22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,2964,E,
TWN,2000-01-01,2002-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,30,E,
TWN,2001-01-01,2003-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,31,E,
TWN,2002-01-01,2004-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,31,E,
TWN,2003-01-01,2005-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,32,E,
TWN,2004-01-01,2006-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,31,E,
TWN,2005-01-01,2007-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,31,E,
TWN,2006-01-01,2008-12-31,214,'158,"China, Taiwan Province of",21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,31,E,
