Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
TZA,2000-01-01,2002-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,98,E,
TZA,2001-01-01,2003-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,97,E,
TZA,2002-01-01,2004-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,98,E,
TZA,2003-01-01,2005-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,98,E,
TZA,2004-01-01,2006-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,101,E,
TZA,2005-01-01,2007-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,102,E,
TZA,2006-01-01,2008-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,103,E,
TZA,2007-01-01,2009-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,104,E,
TZA,2008-01-01,2010-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,104,E,
TZA,2009-01-01,2011-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,105,E,
TZA,2010-01-01,2012-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,107,E,
TZA,2011-01-01,2013-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,109,E,
TZA,2012-01-01,2014-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,110,E,
TZA,2013-01-01,2015-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,111,E,
TZA,2014-01-01,2016-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,111,E,
TZA,2015-01-01,2017-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,111,E,
TZA,2016-01-01,2018-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,110,E,
TZA,2017-01-01,2019-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,110,E,
TZA,2018-01-01,2020-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,110,E,
TZA,2019-01-01,2021-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,110,E,
TZA,2020-01-01,2022-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,110,E,
TZA,2021-01-01,2023-12-31,215,'834,United Republic of Tanzania,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,110,E,
