Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
USA,2000-01-01,2002-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,149,E,
USA,2001-01-01,2003-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,149,E,
USA,2002-01-01,2004-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,150,E,
USA,2003-01-01,2005-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,151,E,
USA,2004-01-01,2006-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,151,E,
USA,2005-01-01,2007-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,150,E,
USA,2006-01-01,2008-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,149,E,
USA,2007-01-01,2009-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,147,E,
USA,2008-01-01,2010-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,146,E,
USA,2009-01-01,2011-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,145,E,
USA,2010-01-01,2012-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,146,E,
USA,2011-01-01,2013-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,147,E,
USA,2012-01-01,2014-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,147,E,
USA,2013-01-01,2015-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,147,E,
USA,2014-01-01,2016-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,147,E,
USA,2015-01-01,2017-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,148,E,
USA,2016-01-01,2018-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,149,E,
USA,2017-01-01,2019-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,150,E,
USA,2018-01-01,2020-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,151,E,
USA,2019-01-01,2021-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,152,E,
USA,2020-01-01,2022-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,152,E,
USA,2021-01-01,2023-12-31,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,153,E,
USA,2000-01-01,2000-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3793,E,
USA,2001-01-01,2001-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3745,E,
USA,2002-01-01,2002-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3822,E,
USA,2003-01-01,2003-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3817,E,
USA,2004-01-01,2004-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3850,E,
USA,2005-01-01,2005-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3869,E,
USA,2006-01-01,2006-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3823,E,
USA,2007-01-01,2007-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3797,E,
USA,2008-01-01,2008-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3739,E,
USA,2009-01-01,2009-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3683,E,
USA,2010-01-01,2010-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3729,E,
USA,2011-01-01,2011-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3726,E,
USA,2012-01-01,2012-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3765,E,
USA,2013-01-01,2013-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3754,E,
USA,2014-01-01,2014-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3742,E,
USA,2015-01-01,2015-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3756,E,
USA,2016-01-01,2016-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3778,E,
USA,2017-01-01,2017-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3791,E,
USA,2018-01-01,2018-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3823,E,
USA,2019-01-01,2019-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3876,E,
USA,2020-01-01,2020-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3892,E,
USA,2021-01-01,2021-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3893,E,
USA,2022-01-01,2022-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3912,E,
USA,2023-01-01,2023-12-31,231,'840,United States of America,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3914,E,Imputed value
USA,2000-01-01,2002-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3787,E,
USA,2001-01-01,2003-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3795,E,
USA,2002-01-01,2004-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3830,E,
USA,2003-01-01,2005-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3846,E,
USA,2004-01-01,2006-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3847,E,
USA,2005-01-01,2007-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3829,E,
USA,2006-01-01,2008-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3786,E,
USA,2007-01-01,2009-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3739,E,
USA,2008-01-01,2010-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3717,E,
USA,2009-01-01,2011-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3713,E,
USA,2010-01-01,2012-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3740,E,
USA,2011-01-01,2013-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3748,E,
USA,2012-01-01,2014-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3754,E,
USA,2013-01-01,2015-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,3751,E,
USA,2014-01-01,2016-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,3759,E,
USA,2015-01-01,2017-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,3775,E,
USA,2016-01-01,2018-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,3797,E,
USA,2017-01-01,2019-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,3830,E,
USA,2018-01-01,2020-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,3864,E,
USA,2019-01-01,2021-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,3887,E,
USA,2020-01-01,2022-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,3899,E,
USA,2021-01-01,2023-12-31,231,'840,United States of America,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,3906,E,
USA,2000-01-01,2002-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,25,E,
USA,2001-01-01,2003-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,25,E,
USA,2002-01-01,2004-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,24,E,
USA,2003-01-01,2005-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,24,E,
USA,2004-01-01,2006-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,24,E,
USA,2005-01-01,2007-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,24,E,
USA,2006-01-01,2008-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,24,E,
USA,2007-01-01,2009-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,25,E,
USA,2014-01-01,2016-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,24,E,
USA,2015-01-01,2017-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,23,E,
USA,2016-01-01,2018-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,23,E,
USA,2017-01-01,2019-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,23,E,
USA,2018-01-01,2020-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,23,E,
USA,2019-01-01,2021-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,23,E,
USA,2020-01-01,2022-12-31,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,23,E,
USA,2000-01-01,2002-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,113.8,E,
USA,2001-01-01,2003-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,113.9,E,
USA,2002-01-01,2004-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,114.8,E,
USA,2003-01-01,2005-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,115,E,
USA,2004-01-01,2006-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,115,E,
USA,2005-01-01,2007-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,114.8,E,
USA,2006-01-01,2008-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,114.1,E,
USA,2007-01-01,2009-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,112.9,E,
USA,2014-01-01,2016-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,118.2,E,
USA,2015-01-01,2017-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,119.2,E,
USA,2016-01-01,2018-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,120.4,E,
USA,2017-01-01,2019-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,121.7,E,
USA,2018-01-01,2020-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,123.6,E,
USA,2019-01-01,2021-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,123.7,E,
USA,2020-01-01,2022-12-31,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,123.5,E,
USA,2000-01-01,2002-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,73.1,E,
USA,2001-01-01,2003-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,73.6,E,
USA,2002-01-01,2004-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,74.5,E,
USA,2003-01-01,2005-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,74.6,E,
USA,2004-01-01,2006-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,74.6,E,
USA,2005-01-01,2007-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,74.3,E,
USA,2006-01-01,2008-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,73.7,E,
USA,2007-01-01,2009-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,72.6,E,
USA,2014-01-01,2016-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,79.9,E,
USA,2015-01-01,2017-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,80.9,E,
USA,2016-01-01,2018-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,82,E,
USA,2017-01-01,2019-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,83.3,E,
USA,2018-01-01,2020-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,84.4,E,
USA,2019-01-01,2021-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,84.4,E,
USA,2020-01-01,2022-12-31,231,'840,United States of America,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,84,E,
USA,2000-01-01,2000-12-31,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2000,2000,km,2,X,
USA,2001-01-01,2001-12-31,231,'840,United States of America,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2001,2001,km,2,X,
