Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
ZAF,2000-01-01,2002-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,122,E,
ZAF,2001-01-01,2003-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,122,E,
ZAF,2002-01-01,2004-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,123,E,
ZAF,2003-01-01,2005-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,123,E,
ZAF,2004-01-01,2006-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,123,E,
ZAF,2005-01-01,2007-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,123,E,
ZAF,2006-01-01,2008-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,122,E,
ZAF,2007-01-01,2009-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,122,E,
ZAF,2008-01-01,2010-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,121,E,
ZAF,2009-01-01,2011-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,120,E,
ZAF,2010-01-01,2012-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,119,E,
ZAF,2011-01-01,2013-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,120,E,
ZAF,2012-01-01,2014-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,119,E,
ZAF,2013-01-01,2015-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,118,E,
ZAF,2014-01-01,2016-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,118,E,
ZAF,2015-01-01,2017-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,119,E,
ZAF,2016-01-01,2018-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,120,E,
ZAF,2017-01-01,2019-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,120,E,
ZAF,2018-01-01,2020-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,119,E,
ZAF,2019-01-01,2021-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,118,E,
ZAF,2020-01-01,2022-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,117,E,
ZAF,2021-01-01,2023-12-31,202,'710,South Africa,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,116,E,
